chip,bbox
00c23,"[83.7524516082363, 19.288074348116076, 83.77717860889544, 19.311551841732815]"
9fe8a,"[83.6123434052975, 19.66000878232288, 83.63711688202808, 19.683475796394518]"
b8c31,"[76.67785293722326, 25.266266801967767, 76.70358887880673, 25.289666685809774]"
5649b,"[83.06878703929678, 19.135328533292725, 83.09340538570942, 19.15872486755708]"
ff450,"[87.3821186859203, 25.506712864652474, 87.40767085448238, 25.52989892628912]"
ffa37,"[81.38989714136761, 27.81808179987612, 81.41597784378692, 27.841267552525256]"
3ee29,"[87.53496163023726, 25.506208297457547, 87.56054241133096, 25.529420418234807]"
f3792,"[83.31364959519102, 19.247981147087295, 83.33831664556891, 19.271407525434945]"
72bca,"[82.36974140196311, 27.187750873329243, 82.39586721940742, 27.211111605702538]"
9656f,"[82.97396304062337, 19.34450650454266, 82.9986037378811, 19.367893885199145]"
0cfca,"[81.7768325456953, 27.400396918663745, 81.80289199019587, 27.423653238126274]"
0928d,"[81.31172101337114, 27.748964020295844, 81.33776873905477, 27.7721353425368]"
cbce5,"[81.7506279629451, 27.35432387155808, 81.7766710724406, 27.377575401093885]"
589bf,"[83.8478020621404, 19.171034242314384, 83.87252057849018, 19.19452061956041]"
0cfd7,"[81.38866994436667, 27.4714248762804, 81.41466728195688, 27.494610685279277]"
84a94,"[82.21697171565596, 27.397169490321897, 82.24311844546541, 27.420504386579125]"
99d3c,"[87.89260316014347, 25.643100396580405, 87.91828049985563, 25.666373198706392]"
2d9da,"[81.43994203674531, 27.332594281868502, 81.46591696916691, 27.355789547020247]"
17a8a,"[76.59443838841688, 24.712479697174224, 76.62003832829265, 24.73586223636466]"
6d753,"[87.8153171457367, 25.52798498857285, 87.84095488772054, 25.551244522734]"
644ec,"[83.04389138960711, 19.08936184892911, 83.0684991839112, 19.112754739647553]"
d111c,"[81.62057330318441, 27.23942979492484, 81.64656282512065, 27.262657775116303]"
219c9,"[83.48576038029145, 19.36129107488275, 83.51046745619769, 19.38473901043165]"
16dd2,"[82.0625220614317, 27.49089732073544, 82.0886608646169, 27.514205117063668]"
1225a,"[81.59859675143805, 27.955952302357193, 81.62475454825704, 27.97917667094411]"
38c95,"[87.68832804688228, 25.59800868838256, 87.7139574437973, 25.62124690959717]"
b0c8b,"[82.3686149452655, 27.09532743401187, 82.39471815503396, 27.118687475521636]"
180cf,"[87.63588387257843, 25.320849373596825, 87.66144354824547, 25.344078427884583]"
2afec,"[82.19232542070151, 27.512930075669914, 82.21849556615686, 27.5362610943144]"
964ef,"[76.75243562158539, 25.14982843192894, 76.77815874982679, 25.173239307098093]"
849f6,"[76.47509301982626, 25.31469473785846, 76.50080377408686, 25.338062282458463]"
12da9,"[76.71809401796123, 24.503069955595702, 76.74367002401762, 24.526470224820713]"
62338,"[83.62965331538255, 19.220552409524764, 83.65435418203438, 19.244014868699505]"
3e434,"[81.28574453715109, 27.749025001396156, 81.31178685461306, 27.77219150003878]"
b8038,"[87.4080627196673, 25.645342597552855, 87.43364965422568, 25.668533027878382]"
75fe8,"[81.44225733223203, 27.91035370395807, 81.46837136360361, 27.93354911112408]"
18617,"[83.48611113304561, 19.38440429148141, 83.51082214288353, 19.407852592321145]"
cba2f,"[81.41677546619313, 28.04909520444969, 81.44291803858296, 28.07228578387502]"
3d1fd,"[87.40759276962575, 25.50663983410521, 87.43314972215028, 25.529830250553996]"
e5b6a,"[76.37028139198216, 25.0383494258122, 76.3959128409177, 25.061698379076976]"
49077,"[76.54815252099898, 25.059685823894874, 76.57381996991568, 25.083063452697463]"
22f09,"[82.40110652965032, 27.626480434816806, 82.42734629376217, 27.649849055227335]"
298d4,"[82.42347625136071, 27.348961310124896, 82.44965192646839, 27.372332326753593]"
7e3be,"[83.73353145423988, 19.611961307471518, 83.75831156990867, 19.63544172175503]"
931ee,"[87.33123369974665, 25.529963171625383, 87.35678124619476, 25.553140498427638]"
28fec,"[76.54555295312903, 24.85168690862521, 76.5711745632614, 24.87506270158804]"
14489,"[76.27023179558275, 25.1779480357306, 76.2958758909673, 25.20128154728837]"
dd5ef,"[76.59267840003537, 24.573811123329044, 76.61824821079404, 24.59719238957483]"
711a4,"[83.49395514835362, 19.892878514627604, 83.51875403316356, 19.91633486461208]"
713c3,"[77.10782819085878, 25.14513496325952, 77.1336118623467, 25.168601846810457]"
c65b6,"[81.59632670189137, 27.53998395738574, 81.62238300353175, 27.563207715562232]"
2f048,"[81.28622938826972, 27.93390555987311, 81.31231640931621, 27.957071876069495]"
07eb9,"[83.38566483135982, 19.17768711308732, 83.41032903269719, 19.20112092837498]"
ced82,"[81.46857088435304, 27.979590446620907, 81.49470731872266, 28.00279071240876]"
80c07,"[83.89522721591742, 19.10094862521396, 83.91993946424643, 19.124439140629846]"
70187,"[76.52450067577787, 25.198616798633385, 76.5501945294757, 25.221991569424834]"
09520,"[82.24003553391982, 27.142763388938228, 82.26612509834665, 27.16610121365111]"
83aa4,"[76.64412973877741, 24.64259254658792, 76.66972314175382, 24.665982371614653]"
2991b,"[76.6435252332912, 24.596370712326348, 76.66910858346638, 24.61976009553563]"
a28bd,"[82.24519839824974, 27.60488905736699, 82.27140172876244, 27.628229885373152]"
ef6ac,"[76.6179511584083, 24.5735375215772, 76.6435252332912, 24.59692273826308]"
2b411,"[87.86726969763858, 25.666373198706392, 87.89294745916494, 25.6896417918213]"
b13db,"[76.67126625560921, 24.780971480564144, 76.69689426509801, 24.80436661283577]"
0f292,"[82.36889605355323, 27.11843341213716, 82.3950049052533, 27.141793626283107]"
455fd,"[81.44021624342568, 27.40192796000825, 81.46620765084957, 27.425123242514744]"
e6bd2,"[81.54654688425882, 27.956178671266642, 81.57269388827304, 27.979393409226226]"
3c60d,"[81.80289199019587, 27.423354923692088, 81.82896221507725, 27.4466159756629]"
f75f0,"[76.32278241053065, 25.339281123734057, 76.34847133726352, 25.362624036903554]"
aa911,"[76.9958979206063, 24.49960554466711, 77.02151998114199, 24.52304860005823]"
4b31d,"[83.26945786116863, 19.57223271748536, 83.29417363320734, 19.595658020112847]"
aecd4,"[76.64292223527337, 24.55014857998042, 76.66849555703023, 24.5735375215772]"
3acfc,"[81.44141587767635, 27.702365883670428, 81.46747935838266, 27.72556124036363]"
91898,"[83.58280496654383, 19.33680988917547, 83.60751974884951, 19.360268701421763]"
45770,"[76.545840362572, 24.874798198706426, 76.5714670412875, 24.898174195459077]"
28a9a,"[87.63661093923902, 25.459550342544524, 87.66220062216568, 25.482779656389813]"
499be,"[83.0684991839112, 19.112207884931287, 83.0931137313689, 19.13560392357373]"
87044,"[77.23641904480156, 25.23565605345197, 77.26224527129783, 25.259144004310603]"
cb0c7,"[82.34445762882932, 27.234217441062373, 82.3705897919663, 27.257573998211672]"
90a19,"[76.32202978168009, 25.26994446303078, 76.34770330264175, 25.293286882405724]"
1203e,"[83.55845702544673, 19.337156734951087, 83.58316890680945, 19.36061274342379]"
37911,"[76.468744511773, 24.78312992541573, 76.49433793848651, 24.806493079965982]"
06d05,"[81.82758680303864, 27.26143206803591, 81.85362316016288, 27.28469724998261]"
8fb9f,"[83.26784466302136, 19.456649955910876, 83.29254081551392, 19.48007361409226]"
f2982,"[83.26752339941076, 19.433533211052954, 83.29221564364533, 19.456956540468475]"
995be,"[76.75177620047698, 25.103612377931093, 76.777488960385, 25.12702277351206]"
9fe11,"[76.60100513840543, 25.220908075750277, 76.6267174432593, 25.244295297899235]"
13997,"[76.82825422035987, 25.12578739133176, 76.85398522156754, 25.149210094998683]"
51ad6,"[82.47676055703076, 27.463934064418837, 82.50297500903434, 27.487315093312798]"
aa98f,"[81.44104477837102, 27.609924835950974, 81.46708596428363, 27.63312016998649]"
5d326,"[83.94424855897961, 19.12327597842796, 83.96897032971971, 19.146772331983136]"
502c8,"[76.74303237129051, 24.479666011041058, 76.76860757989975, 24.503069955595702]"
ee842,"[87.58658385723307, 25.644703524041592, 87.61220435723848, 25.66792449879735]"
66e24,"[81.93335116858752, 27.538066813074042, 81.95947548299421, 27.561351594662092]"
3c8a8,"[87.35650811403187, 25.460546336523826, 87.38204557086057, 25.483728052123183]"
89d15,"[81.36475746451195, 28.07236243397907, 81.39089476912928, 28.095543268059462]"
50ebf,"[81.67667040213964, 27.955575848240706, 81.70284433780083, 27.97881462615957]"
90471,"[76.39722648077075, 25.17678160955589, 76.42289295789844, 25.20013571029505]"
4a239,"[87.89311992521363, 25.712443856346695, 87.91881267450395, 25.73571692414283]"
b27b5,"[81.6746698274287, 27.63205218508463, 81.70076436815312, 27.65529029043436]"
b6e7b,"[76.92545463743048, 24.84720873008204, 76.95114073900483, 24.870644213982104]"
3246c,"[83.36035016425946, 19.108657196798088, 83.38499987759168, 19.13208716748906]"
b1f68,"[76.66849555703023, 24.572977609009197, 76.69407814189825, 24.596370712326348]"
36a96,"[77.2626737459508, 25.281465438704167, 77.28851490464672, 25.304958003735102]"
80b9f,"[81.36382744408849, 27.79504764313054, 81.38989714136761, 27.818228581021494]"
7a829,"[87.8416017694411, 25.643412102016825, 87.86726969763858, 25.666676313357595]"
5d810,"[83.67681712182795, 19.127399877709482, 83.70150800460605, 19.150866283401978]"
0a664,"[82.24054628414976, 27.18897737306612, 82.26664710495406, 27.212315497284315]"
10d6f,"[83.846612856111, 19.101713458516866, 83.87131952349299, 19.1251985593477]"
f7dab,"[87.68806372175267, 25.55177670149262, 87.71368299493206, 25.575014818122234]"
65812,"[83.41235872444402, 19.339169627559386, 83.43705309051822, 19.362608719481866]"
ff961,"[87.22914105714979, 25.437704438442193, 87.25464961004708, 25.460864362312734]"
a7c76,"[83.84979550812295, 19.286567557945055, 83.87453387737473, 19.310056063767053]"
9b6c8,"[81.4682717805705, 27.910262838078182, 81.49439122554999, 27.933463072983248]"
a69a6,"[76.59889626762053, 25.05913935995167, 76.62457249561957, 25.08252508935677]"
0b89a,"[82.39993249680265, 27.534064057366322, 82.42614911798033, 27.55743196421962]"
82d73,"[83.38700049061764, 19.270148429116677, 83.41168021923069, 19.29358363932947]"
7e5b4,"[76.49517089551138, 24.87532290841374, 76.52078885962689, 24.89869085632931]"
38396,"[81.51704140799218, 27.21675760084688, 81.54300466039528, 27.239966882376002]"
76c43,"[82.16543700963821, 27.420728080611294, 82.19157925031448, 27.444053942465626]"
ccd25,"[83.29156668916758, 19.410107340802536, 83.31625800762981, 19.433533211052954]"
dddbd,"[82.31942662960135, 27.303785768733338, 82.3455708172745, 27.32713829135441]"
c0b93,"[81.59770817873213, 27.79418983195469, 81.62382624871273, 27.817413963050342]"
95a88,"[82.70949848964518, 27.43812244167741, 82.73575210484017, 27.461543937615062]"
79a1b,"[87.38241204572559, 25.599181969090612, 87.40798415424186, 25.62236802184382]"
61438,"[87.76392490213581, 25.45892098028847, 87.78953808020454, 25.482171743001377]"
516a0,"[82.21722493379684, 27.42027588526491, 82.24337735570734, 27.4436109271251]"
44d65,"[87.3311068878649, 25.483728052123183, 87.35664451233343, 25.5069054014917]"
079de,"[81.3636737246042, 27.748827423495413, 81.38973224693991, 27.772008378493723]"
4b5f6,"[76.61617662004727, 24.434868016755217, 76.64172075193436, 24.45825193586711]"
bb0fb,"[81.90648104387898, 27.422700576708877, 81.93257197769388, 27.445980243634406]"
8e057,"[82.11457742663195, 27.513589316933047, 82.14073219592115, 27.53690648772634]"
ffe8c,"[83.02154398570678, 19.251481965594408, 83.04617541568179, 19.27487401218633]"
6199c,"[76.84606653839002, 24.617101431568184, 76.87168884399489, 24.64052250005252]"
9a7c7,"[83.38599802674825, 19.200802538012876, 83.41066610212387, 19.22423670196652]"
bb3f2,"[83.02211145974293, 19.29772387509716, 83.04675053607671, 19.321116496983542]"
586a2,"[83.07052290023543, 19.274051111929083, 83.09516414844308, 19.297449220569874]"
6fff5,"[81.38891363311012, 27.540757651440025, 81.41492752529108, 27.56394344940323]"
a7a76,"[82.70985478630756, 27.461223515204402, 82.7361142230183, 27.484645244461248]"
bf920,"[81.39047736512235, 27.97984906194883, 81.41659748044685, 28.003034787344777]"
99600,"[87.73959665184671, 25.64398209489067, 87.76524568277603, 25.667229068035216]"
26742,"[87.30581312097674, 25.553140498427638, 87.331360823482, 25.576313436078145]"
b1377,"[81.54619835083797, 27.886851708610827, 81.57232832748794, 27.91006637310982]"
1b584,"[81.70239571475899, 27.909224057442508, 81.72856358126663, 27.932467523073704]"
65624,"[81.3633673801768, 27.656386054872808, 81.38940363185753, 27.679567043912634]"
c670a,"[81.59821503038802, 27.886625997701575, 81.62435576126236, 27.909850264486007]"
33e3e,"[82.26954056314369, 27.466016088520355, 82.29571456841796, 27.48936060050755]"
f67ce,"[76.77055550908618, 24.641135185127617, 76.796170192881, 24.664544733151875]"
5c206,"[83.8015182768937, 19.310434867056347, 83.82625494962011, 19.333918293587466]"
319d4,"[82.29436612309188, 27.37335007367736, 82.3205223522087, 27.396698529612326]"
5580c,"[83.69888629932653, 18.98838075591106, 83.72355658948254, 19.011847500187375]"
594de,"[82.16836907954355, 27.69800399789108, 82.19458000136, 27.721331499089246]"
6c46f,"[77.08520318406183, 25.30722055044723, 77.11101956214134, 25.33068554729213]"
0f7ae,"[81.49334567374048, 27.702180868196617, 81.51941985932243, 27.725385790510934]"
65723,"[82.13977995990928, 27.444053942465626, 82.16592278022456, 27.467375338669864]"
67ef8,"[82.13930554323056, 27.39783991324398, 82.16543700963821, 27.421161045998872]"
4fc62,"[83.85463835251537, 19.563840714203753, 83.87942490487164, 19.58733433497823]"
9d5a0,"[83.34062461250267, 19.432595038361384, 83.36532578675589, 19.456026975327397]"
96b00,"[87.86626998195953, 25.527683743553055, 87.89191708945134, 25.55095183271484]"
ae507,"[83.46140698353624, 19.361625363754168, 83.48611113304561, 19.38507047357582]"
ef853,"[76.64112226177924, 24.41148039878146, 76.66666564416573, 24.434868016755217]"
0023c,"[76.72125584730641, 24.73416999239891, 76.7468822819358, 24.757572602576847]"
3770a,"[87.68766844900703, 25.4824281688165, 87.71327258261923, 25.505666128560133]"
2bca4,"[76.89697111814979, 24.639571614511194, 76.9226069295929, 24.663000766151686]"
ff907,"[82.08980184047503, 27.629334008831286, 82.1159800115708, 27.652647167232697]"
defec,"[83.0682117434657, 19.08908717429174, 83.09282249710486, 19.112482917342465]"
05c70,"[82.6839570425735, 27.461543937615062, 82.7102115081715, 27.484961164627734]"
2b11e,"[81.18241891589572, 28.09586997044274, 81.2085233116486, 28.119016498521077]"
91b2b,"[83.70075624096214, 19.10393112826741, 83.72544604036331, 19.127399877709482]"
a77d1,"[76.8536362154055, 25.12546768828327, 76.8793715575413, 25.14889440508101]"
bbb80,"[76.67188619495111, 24.827191516619944, 76.6975243662237, 24.850587100362198]"
d1706,"[82.52729006011376, 27.370952234711506, 82.55349148066223, 27.394341538982054]"
ff3e0,"[87.71218552085806, 25.320487263535654, 87.7377592069845, 25.343729119816352]"
1dd2e,"[87.38263301223446, 25.668533027878382, 87.40822013966593, 25.6917190737503]"
75985,"[87.81516099653385, 25.504869508935077, 87.84079366278041, 25.528128968176986]"
7d533,"[82.39818190988939, 27.39543709845302, 82.4243640196715, 27.41880393671275]"
23bbc,"[82.16861531495702, 27.72110981040878, 82.19483200403928, 27.74443744849633]"
ed711,"[87.35698697738987, 25.62236802184382, 87.38255926642272, 25.64554969009492]"
222b0,"[83.58462987852154, 19.452366834278788, 83.60936444794609, 19.47582755447876]"
2be8f,"[82.36945928160381, 27.164645131843553, 82.3955794371357, 27.188005691421065]"
411c6,"[81.57040052092297, 27.540097591282684, 81.59645154443383, 27.563316621333623]"
0b194,"[83.9446584530956, 19.14638089906959, 83.96938419141969, 19.169877694211955]"
69fc2,"[76.52306598138993, 25.083063452697463, 76.54873414994121, 25.106437223818894]"
22cd4,"[82.34809502171908, 27.534586097366937, 82.37430149436045, 27.557944847232616]"
cfdb4,"[76.74430927292333, 24.572105971323595, 76.76990457704854, 24.595510868912942]"
bb5e3,"[87.91722200275336, 25.527364785042572, 87.94287845108144, 25.550641410341512]"
08765,"[81.33863130972014, 28.049324932405547, 81.36475746451195, 28.072500899627773]"
f1622,"[82.5820145552852, 27.578289285749978, 82.6082781263943, 27.601689506428446]"
69007,"[81.516828268686, 27.170534549123275, 81.54278059765775, 27.193743790893148]"
35917,"[83.40764988559633, 19.015559071435995, 83.43228998712576, 19.03899322544236]"
fa778,"[82.55060019459037, 27.185833919596096, 82.57676072694282, 27.209226095876208]"
e0ea2,"[81.51854773869398, 27.540310354859724, 81.54458818615821, 27.563519914150852]"
33767,"[87.45898094599484, 25.62206549100038, 87.48457247718191, 25.645264660260462]"
90681,"[83.79916517555422, 19.17178920834963, 83.82387806312612, 19.195270128857633]"
dc0f2,"[87.71464651649099, 25.73657543746603, 87.74031120187317, 25.75981831660693]"
79878,"[83.89846403724079, 19.285794756617758, 83.92320805931439, 19.3092887415485]"
182c3,"[81.20830042586414, 28.00338981219273, 81.234387841599, 28.026541403422055]"
a5ddb,"[81.62316788646982, 27.70163313788857, 81.64926871823717, 27.72486188949804]"
95acd,"[87.76407093579839, 25.482036900209348, 87.78968916565134, 25.505287728790478]"
abbd9,"[77.02151998114199, 24.522371568488385, 77.04715127216888, 24.545818771167955]"
c82d0,"[87.81752345447643, 25.851593924749366, 87.84323290583829, 25.874854508567005]"
124a5,"[81.36313857699453, 27.58705421657438, 81.38915819482261, 27.61023523099096]"
e6c7f,"[87.58624547473241, 25.57535444547938, 87.6118508320939, 25.598575317837987]"
4a39f,"[82.39847280484936, 27.41854179064633, 82.42466064966075, 27.441908806861253]"
67a64,"[87.45906933106826, 25.645182269861078, 87.48466588636501, 25.668381450498043]"
e4963,"[81.54573556594121, 27.794414666800066, 81.57184293297787, 27.81762923334601]"
f449d,"[81.44150892880727, 27.725475951994365, 81.4675779997263, 27.748671314329652]"
7c915,"[81.26054210249174, 28.07261958543741, 81.28665742406358, 28.095780869121835]"
820e6,"[83.09340538570942, 19.15817015284203, 83.11803050422657, 19.181569642917403]"
16f17,"[83.26913430319816, 19.549116293754956, 83.29384614088107, 19.5725412674103]"
b2758,"[83.55809702235527, 19.314044703355176, 83.58280496654383, 19.337500334452162]"
257a5,"[87.89346549127461, 25.758672457408675, 87.91916854468496, 25.781945702382444]"
8c8e6,"[83.19011150312429, 19.11078457968027, 83.21474079317566, 19.13419483414063]"
e1a50,"[87.86693564137117, 25.62014367692882, 87.89260316014347, 25.643412102016825]"
66760,"[87.81688921727053, 25.75913571390955, 87.84257805621792, 25.782395997666082]"
8a293,"[81.41580174829566, 27.79489122960723, 81.44188224154256, 27.81808179987612]"
6063b,"[82.11364792723673, 27.421161045998872, 82.13977995990928, 27.444477708142113]"
d1395,"[82.44725446814856, 27.186957868397094, 82.47339520354791, 27.210332106440696]"
bb9bf,"[83.5302141347301, 19.083259560613577, 83.55488013753613, 19.10670865707401]"
64fe6,"[83.55630472783547, 19.19848357091791, 83.58099306439478, 19.22193731589757]"
9e468,"[81.54436034503414, 27.517096082278112, 81.57040052092297, 27.540310354859724]"
d2401,"[81.46553101100533, 27.26317150206186, 81.49149476217242, 27.286371445750394]"
8a94b,"[81.85433150037848, 27.376819078534275, 81.88040088892804, 27.40008928659179]"
3732a,"[82.14001759320026, 27.467160839137033, 82.16616610050615, 27.490482367125292]"
64456,"[81.46533872325497, 27.216948380173644, 81.49129155010678, 27.240148302821883]"
7ee61,"[87.8686141319019, 25.85128831069902, 87.89433311286868, 25.874557576371362]"
e7469,"[82.32134758535497, 27.465524474240897, 82.34753174277218, 27.48887814522425]"
43ed6,"[83.48541012869437, 19.33817779344747, 83.51011327588971, 19.361625363754168]"
cf474,"[81.51672189032874, 27.14742290835022, 81.54266876732555, 27.17063213023217]"
9cf36,"[82.2684839945184, 27.37359251857275, 82.29463516876402, 27.39693641103311]"
83d17,"[83.77407277271719, 19.125945156807468, 83.79877496050884, 19.149422515418976]"
a40a9,"[77.00743226067902, 25.215876142763587, 77.03321452512644, 25.239327973131385]"
67c2b,"[87.3314882595931, 25.62243253290906, 87.35705572284411, 25.645609814286594]"
f6799,"[81.4144943029398, 27.44823432054081, 81.44049143416089, 27.4714248762804]"
821fa,"[76.8028718000555, 25.126102751663733, 76.8285984540879, 25.14952143737574]"
65f0f,"[76.39696310277668, 25.153669684950327, 76.42262446481125, 25.177023607945674]"
b76a0,"[82.60794099074741, 27.577986634009523, 82.63420959062165, 27.60139139999434]"
523f4,"[76.87168884399489, 24.63989282370352, 76.89732044218663, 24.66331806419217]"
87f98,"[83.75595255280648, 19.496047638354103, 83.78071545671241, 19.519528821696934]"
5e37a,"[82.3425223264932, 27.07247493785164, 82.3686149452655, 27.095830317988202]"
80c25,"[87.76276307997614, 25.273990974731255, 87.78833606412795, 25.297241210608036]"
f2ba0,"[83.80588508704425, 19.56461236289388, 83.83066585700155, 19.588100389476104]"
3b407,"[76.37312594146901, 25.292583371115892, 76.39881359465554, 25.315934230583267]"
63d9f,"[87.68846045284373, 25.621124571214853, 87.71409492084958, 25.64436284472059]"
76612,"[76.57530242604034, 25.198075616023175, 76.60100513840543, 25.221458550240342]"
0936f,"[82.16592278022456, 27.466941522463134, 82.1920764005442, 27.490267657120967]"
97708,"[81.54527497527131, 27.701976379964044, 81.57135983923642, 27.72519084854408]"
bcc17,"[81.64858618501461, 27.609071281541993, 81.6746698274287, 27.632304611263557]"
67f7d,"[82.21621387303735, 27.32784983277901, 82.24234356669953, 27.351184292494548]"
9a62b,"[76.54156656229641, 24.528121028567746, 76.56711785419577, 24.551493973372562]"
6ce8e,"[83.67831145251156, 19.219840608152115, 83.70301803908974, 19.243308603004035]"
b9344,"[81.44178874692676, 27.794805691623512, 81.46787462821504, 27.81800107083309]"
15a87,"[76.59949694110166, 25.1053593707444, 76.62518344573103, 25.12874552638403]"
0526c,"[83.1213087403721, 19.435321356880088, 83.14598298401368, 19.4587273510227]"
e4ad1,"[81.70254507844955, 27.93233232980619, 81.72871865924918, 27.955575848240706]"
47bca,"[82.44785168405335, 27.233167547050567, 82.47400379968418, 27.256542158434975]"
63fcf,"[83.80073165764713, 19.26421991199957, 83.82546038104391, 19.287702502950935]"
0ecf8,"[87.35657627127269, 25.483663939502804, 87.3821186859203, 25.506845648406408]"
75996,"[82.0886608646169, 27.513799410699, 82.11481049509732, 27.537111955683216]"
dd24f,"[81.18237986460174, 28.072760525996795, 81.20847862884978, 28.095907096141637]"
0afb8,"[81.26048638146696, 28.049510199326022, 81.28659605854037, 28.072671510760074]"
68b4c,"[81.56839211764259, 27.147213675061124, 81.5943493566331, 27.17043220862728]"
e02e8,"[81.67438674021452, 27.58583327214072, 81.70047004550585, 27.609071281541993]"
2a604,"[81.31178685461306, 27.7720743020027, 81.33784015157248, 27.795245606239394]"
5f91f,"[81.4398508527429, 27.30948290218271, 81.46582030653772, 27.332678161528868]"
f7fbd,"[81.56921416821767, 27.308992099764033, 81.59520979532121, 27.332210837804734]"
58b9d,"[81.33741294730672, 27.65645651686587, 81.36344382967152, 27.6796327108273]"
2950f,"[81.4665968491394, 27.51739317942558, 81.49262115036274, 27.54059323822512]"
8d083,"[81.39114640031941, 28.16472125620545, 81.41731195948901, 28.187906949765758]"
3d88c,"[83.72734915491557, 19.242224992512284, 83.7520653885768, 19.265698910639532]"
79c1d,"[83.7331409207264, 19.588853286115597, 83.75791700427091, 19.612333293945003]"
4af8d,"[76.39670005006192, 25.130557685549405, 76.42235630318224, 25.15391143084173]"
eccf9,"[87.43331595746714, 25.57591384898565, 87.45889266922886, 25.59910863627849]"
adfbc,"[87.61126450752315, 25.482779656389813, 87.63685448977681, 25.506004705131378]"
9f61e,"[82.63216030521676, 27.4621703464499, 82.65840480816746, 27.485578553935657]"
68700,"[88.02010284382548, 25.64224324095896, 88.04580360375421, 25.665537437218887]"
a27e9,"[81.88021789422204, 27.376653412825778, 81.90629244422503, 27.399928262871725]"
d2a8e,"[83.8226972800402, 19.1251985593477, 83.84740508906566, 19.1486813675327]"
dcc46,"[81.49200492324374, 27.401745284622994, 81.5180068700899, 27.424950010509516]"
86352,"[81.31198484842315, 27.84140468217751, 81.33805489884111, 27.864575932292993]"
f09e3,"[76.5705906959767, 24.828307310968, 76.59621158065852, 24.85168690862521]"
6f2d7,"[76.69657980161794, 24.78068242810414, 76.72221210636056, 24.80408153614996]"
0e409,"[81.46620765084957, 27.424950010509516, 81.49220984231508, 27.44815002756587]"
7e165,"[81.62031723759927, 27.193207762995144, 81.64629577302667, 27.216435666106115]"
45128,"[87.96947744700527, 25.68882747075944, 87.99517915934906, 25.712113327818308]"
9e707,"[83.82191292175918, 19.078983523027528, 83.846612856111, 19.102465488512724]"
98306,"[87.68753701487056, 25.459311844159732, 87.71313611421573, 25.482549751605287]"
1e350,"[83.34095621042299, 19.455710579839828, 83.36566130675389, 19.479142857809656]"
dcfc2,"[81.67452819954092, 27.608942767465482, 81.7006171192297, 27.63218082483714]"
ca70b,"[82.60726792291887, 27.5317827553716, 82.63352486698226, 27.555187090830284]"
9a85e,"[81.49108882380877, 27.193743790893148, 81.51704140799218, 27.216948380173644]"
ec8ae,"[81.5681585089518, 27.100990577655086, 81.59410483847024, 27.124209052783474]"
e6f8f,"[76.6688018789215, 24.59608833820085, 76.69438948652154, 24.619481666744793]"
dc0cf,"[81.41571385733481, 27.77178131075848, 81.44178874692676, 27.794971880134792]"
4680c,"[76.47258727708693, 25.10669583369552, 76.49825173169235, 25.130061657633895]"
be8e2,"[82.52445029962051, 27.16301790988725, 82.55060019459037, 27.18640540869939]"
01b8e,"[81.64872236691478, 27.63218082483714, 81.67481162402943, 27.655414197845058]"
1ed97,"[76.770229840006, 24.618025850122308, 76.79583946697232, 24.641435155241954]"
6d2be,"[82.29625620245181, 27.535088819157906, 82.32245249951484, 27.558438392168636]"
b37c6,"[83.67718989839406, 19.150510158162454, 83.70188469930702, 19.173976961063413]"
b61d0,"[81.31238295781819, 27.980063346443096, 81.3384866940378, 28.003234487836018]"
a4b7d,"[81.90685891916476, 27.468917894760608, 81.93296110851497, 27.49219774154532]"
23daa,"[81.41615435800199, 27.887330128345944, 81.44225733223203, 27.910520702082597]"
7e392,"[82.31860826863934, 27.234467994552023, 82.34473542694084, 27.257820025786664]"
466f0,"[87.86844535749816, 25.82817418253015, 87.89415916424127, 25.85144336409207]"
a7aeb,"[76.49350808323268, 24.73665073737632, 76.5190957943413, 24.760017516295772]"
8789a,"[82.97452005060632, 19.39074930630021, 82.99916841695831, 19.414137246111785]"
36427,"[76.9215463347437, 24.59303141723044, 76.94717618041936, 24.616463936888927]"
c2a6e,"[83.74671627264894, 18.941440345823324, 83.77138437597434, 18.964911700296614]"
32e31,"[82.4992371459377, 27.20950974185302, 82.52539349207008, 27.232893154756276]"
e27f7,"[81.8282728657664, 27.353870523878047, 81.85433150037848, 27.377136009191545]"
bf37c,"[82.47491942761388, 27.32531047524271, 82.50109937981289, 27.348690353598148]"
52984,"[81.51789908306722, 27.40164673695687, 81.54390628980946, 27.42485617731718]"
ee343,"[76.90332591241602, 25.055496800484732, 76.92905429354553, 25.078930730493788]"
8b744,"[81.56909631045787, 27.285881126706098, 81.59508643397817, 27.309099835540753]"
bd9a6,"[83.09282249710486, 19.111929642651166, 83.11744000336459, 19.135328533292725]"
68d16,"[76.74559256957401, 24.664544733151875, 76.77120806692837, 24.687950584685094]"
80f76,"[82.47430864417375, 27.27910197418068, 82.50047715034607, 27.302481469519105]"
3a305,"[81.6210872761512, 27.33187293562959, 81.64709884952788, 27.355101070008068]"
543f5,"[76.62063801399407, 24.78153675575661, 76.64625741455448, 24.80492392216458]"
0e156,"[82.3691774989, 27.141539311430297, 82.39529199918587, 27.164899698265433]"
bc252,"[81.57135983923642, 27.72497641519373, 81.59745565462714, 27.74819567883787]"
15785,"[87.35671283728408, 25.52989892628912, 87.38226518575927, 25.553080621732587]"
